geoName,keyword,trend_score
Afghanistan,travel,9.0
Albania,travel,42.0
Algeria,travel,9.0
American Samoa,travel,74.0
Andorra,travel,22.0
Angola,travel,5.0
Anguilla,travel,58.0
Antarctica,travel,0.0
Antigua & Barbuda,travel,46.0
Argentina,travel,8.0
Armenia,travel,21.0
Aruba,travel,47.0
Australia,travel,63.0
Austria,travel,14.0
Azerbaijan,travel,16.0
Bahamas,travel,45.0
Bahrain,travel,28.0
Bangladesh,travel,13.0
Barbados,travel,42.0
Belarus,travel,5.0
Belgium,travel,15.0
Belize,travel,28.0
Benin,travel,6.0
Bermuda,travel,57.0
Bhutan,travel,34.0
Bolivia,travel,5.0
Bosnia & Herzegovina,travel,24.0
Botswana,travel,18.0
Bouvet Island,travel,0.0
Brazil,travel,5.0
British Indian Ocean Territory,travel,0.0
British Virgin Islands,travel,56.0
Brunei,travel,32.0
Bulgaria,travel,17.0
Burkina Faso,travel,6.0
Burundi,travel,10.0
Cambodia,travel,15.0
Cameroon,travel,10.0
Canada,travel,50.0
Cape Verde,travel,17.0
Caribbean Netherlands,travel,38.0
Cayman Islands,travel,61.0
Central African Republic,travel,4.0
Chad,travel,4.0
Chile,travel,13.0
China,travel,22.0
Christmas Island,travel,0.0
Cocos (Keeling) Islands,travel,0.0
Colombia,travel,7.0
Comoros,travel,6.0
Congo - Brazzaville,travel,6.0
Congo - Kinshasa,travel,3.0
Cook Islands,travel,75.0
Costa Rica,travel,14.0
Croatia,travel,23.0
Cuba,travel,6.0
Curaçao,travel,32.0
Cyprus,travel,35.0
Czechia,travel,15.0
Côte d’Ivoire,travel,5.0
Denmark,travel,16.0
Djibouti,travel,13.0
Dominica,travel,39.0
Dominican Republic,travel,10.0
Ecuador,travel,9.0
Egypt,travel,9.0
El Salvador,travel,5.0
Equatorial Guinea,travel,10.0
Eritrea,travel,42.0
Estonia,travel,23.0
Eswatini,travel,11.0
Ethiopia,travel,16.0
Falkland Islands (Islas Malvinas),travel,75.0
Faroe Islands,travel,22.0
Fiji,travel,35.0
Finland,travel,13.0
France,travel,10.0
French Guiana,travel,3.0
French Polynesia,travel,14.0
French Southern Territories,travel,0.0
Gabon,travel,6.0
Gambia,travel,22.0
Georgia,travel,16.0
Germany,travel,14.0
Ghana,travel,19.0
Gibraltar,travel,44.0
Greece,travel,28.0
Greenland,travel,32.0
Grenada,travel,40.0
Guadeloupe,travel,6.0
Guam,travel,46.0
Guatemala,travel,5.0
Guernsey,travel,69.0
Guinea,travel,5.0
Guinea-Bissau,travel,4.0
Guyana,travel,23.0
Haiti,travel,6.0
Heard & McDonald Islands,travel,0.0
Honduras,travel,7.0
Hong Kong,travel,30.0
Hungary,travel,18.0
Iceland,travel,36.0
India,travel,18.0
Indonesia,travel,15.0
Iran,travel,1.0
Iraq,travel,10.0
Ireland,travel,59.0
Isle of Man,travel,62.0
Israel,travel,16.0
Italy,travel,11.0
Jamaica,travel,44.0
Japan,travel,6.0
Jersey,travel,62.0
Jordan,travel,14.0
Kazakhstan,travel,10.0
Kenya,travel,19.0
Kiribati,travel,15.0
Kosovo,travel,59.0
Kuwait,travel,22.0
Kyrgyzstan,travel,7.0
Laos,travel,18.0
Latvia,travel,27.0
Lebanon,travel,21.0
Lesotho,travel,12.0
Liberia,travel,21.0
Libya,travel,6.0
Liechtenstein,travel,22.0
Lithuania,travel,20.0
Luxembourg,travel,22.0
Macao,travel,17.0
Madagascar,travel,10.0
Malawi,travel,10.0
Malaysia,travel,30.0
Maldives,travel,42.0
Mali,travel,3.0
Malta,travel,49.0
Marshall Islands,travel,27.0
Martinique,travel,9.0
Mauritania,travel,7.0
Mauritius,travel,41.0
Mayotte,travel,2.0
Mexico,travel,8.0
Micronesia,travel,33.0
Moldova,travel,18.0
Monaco,travel,0.0
Mongolia,travel,21.0
Montenegro,travel,25.0
Montserrat,travel,32.0
Morocco,travel,14.0
Mozambique,travel,5.0
Myanmar (Burma),travel,10.0
Namibia,travel,23.0
Nauru,travel,0.0
Nepal,travel,19.0
Netherlands,travel,20.0
New Caledonia,travel,10.0
New Zealand,travel,56.0
Nicaragua,travel,6.0
Niger,travel,5.0
Nigeria,travel,16.0
Niue,travel,0.0
Norfolk Island,travel,0.0
North Korea,travel,0.0
North Macedonia,travel,52.0
Northern Mariana Islands,travel,38.0
Norway,travel,18.0
Oman,travel,19.0
Pakistan,travel,18.0
Palau,travel,44.0
Palestine,travel,12.0
Panama,travel,11.0
Papua New Guinea,travel,21.0
Paraguay,travel,6.0
Peru,travel,7.0
Philippines,travel,33.0
Pitcairn Islands,travel,0.0
Poland,travel,13.0
Portugal,travel,18.0
Puerto Rico,travel,24.0
Qatar,travel,36.0
Romania,travel,19.0
Russia,travel,4.0
Rwanda,travel,10.0
Réunion,travel,5.0
Samoa,travel,34.0
San Marino,travel,17.0
Saudi Arabia,travel,13.0
Senegal,travel,8.0
Serbia,travel,44.0
Seychelles,travel,52.0
Sierra Leone,travel,22.0
Singapore,travel,83.0
Sint Maarten,travel,32.0
Slovakia,travel,18.0
Slovenia,travel,18.0
Solomon Islands,travel,20.0
Somalia,travel,13.0
South Africa,travel,23.0
South Georgia & South Sandwich Islands,travel,0.0
South Korea,travel,28.0
South Sudan,travel,12.0
Spain,travel,14.0
Sri Lanka,travel,20.0
St. Barthélemy,travel,7.0
St. Helena,travel,100.0
St. Kitts & Nevis,travel,46.0
St. Lucia,travel,46.0
St. Martin,travel,47.0
St. Pierre & Miquelon,travel,21.0
St. Vincent & Grenadines,travel,31.0
Sudan,travel,3.0
Suriname,travel,14.0
Svalbard & Jan Mayen,travel,67.0
Sweden,travel,15.0
Switzerland,travel,24.0
Syria,travel,2.0
São Tomé & Príncipe,travel,10.0
Taiwan,travel,9.0
Tajikistan,travel,4.0
Tanzania,travel,12.0
Thailand,travel,12.0
Timor-Leste,travel,9.0
Togo,travel,8.0
Tokelau,travel,0.0
Tonga,travel,30.0
Trinidad & Tobago,travel,31.0
Tunisia,travel,17.0
Turkmenistan,travel,2.0
Turks & Caicos Islands,travel,57.0
Tuvalu,travel,0.0
Türkiye,travel,9.0
U.S. Outlying Islands,travel,0.0
U.S. Virgin Islands,travel,50.0
Uganda,travel,13.0
Ukraine,travel,8.0
United Arab Emirates,travel,46.0
United Kingdom,travel,69.0
United States,travel,50.0
Uruguay,travel,8.0
Uzbekistan,travel,10.0
Vanuatu,travel,34.0
Vatican City,travel,0.0
Venezuela,travel,3.0
Vietnam,travel,13.0
Wallis & Futuna,travel,0.0
Western Sahara,travel,14.0
Yemen,travel,4.0
Zambia,travel,9.0
Zimbabwe,travel,18.0
Åland Islands,travel,13.0
Afghanistan,travel,
Albania,travel,
Algeria,travel,
American Samoa,travel,
Andorra,travel,
Angola,travel,
Anguilla,travel,
Antarctica,travel,
Antigua & Barbuda,travel,
Argentina,travel,
Armenia,travel,
Aruba,travel,
Australia,travel,
Austria,travel,
Azerbaijan,travel,
Bahamas,travel,
Bahrain,travel,
Bangladesh,travel,
Barbados,travel,
Belarus,travel,
Belgium,travel,
Belize,travel,
Benin,travel,
Bermuda,travel,
Bhutan,travel,
Bolivia,travel,
Bosnia & Herzegovina,travel,
Botswana,travel,
Bouvet Island,travel,
Brazil,travel,
British Indian Ocean Territory,travel,
British Virgin Islands,travel,
Brunei,travel,
Bulgaria,travel,
Burkina Faso,travel,
Burundi,travel,
Cambodia,travel,
Cameroon,travel,
Canada,travel,
Cape Verde,travel,
Caribbean Netherlands,travel,
Cayman Islands,travel,
Central African Republic,travel,
Chad,travel,
Chile,travel,
China,travel,
Christmas Island,travel,
Cocos (Keeling) Islands,travel,
Colombia,travel,
Comoros,travel,
Congo - Brazzaville,travel,
Congo - Kinshasa,travel,
Cook Islands,travel,
Costa Rica,travel,
Croatia,travel,
Cuba,travel,
Curaçao,travel,
Cyprus,travel,
Czechia,travel,
Côte d’Ivoire,travel,
Denmark,travel,
Djibouti,travel,
Dominica,travel,
Dominican Republic,travel,
Ecuador,travel,
Egypt,travel,
El Salvador,travel,
Equatorial Guinea,travel,
Eritrea,travel,
Estonia,travel,
Eswatini,travel,
Ethiopia,travel,
Falkland Islands (Islas Malvinas),travel,
Faroe Islands,travel,
Fiji,travel,
Finland,travel,
France,travel,
French Guiana,travel,
French Polynesia,travel,
French Southern Territories,travel,
Gabon,travel,
Gambia,travel,
Georgia,travel,
Germany,travel,
Ghana,travel,
Gibraltar,travel,
Greece,travel,
Greenland,travel,
Grenada,travel,
Guadeloupe,travel,
Guam,travel,
Guatemala,travel,
Guernsey,travel,
Guinea,travel,
Guinea-Bissau,travel,
Guyana,travel,
Haiti,travel,
Heard & McDonald Islands,travel,
Honduras,travel,
Hong Kong,travel,
Hungary,travel,
Iceland,travel,
India,travel,
Indonesia,travel,
Iran,travel,
Iraq,travel,
Ireland,travel,
Isle of Man,travel,
Israel,travel,
Italy,travel,
Jamaica,travel,
Japan,travel,
Jersey,travel,
Jordan,travel,
Kazakhstan,travel,
Kenya,travel,
Kiribati,travel,
Kosovo,travel,
Kuwait,travel,
Kyrgyzstan,travel,
Laos,travel,
Latvia,travel,
Lebanon,travel,
Lesotho,travel,
Liberia,travel,
Libya,travel,
Liechtenstein,travel,
Lithuania,travel,
Luxembourg,travel,
Macao,travel,
Madagascar,travel,
Malawi,travel,
Malaysia,travel,
Maldives,travel,
Mali,travel,
Malta,travel,
Marshall Islands,travel,
Martinique,travel,
Mauritania,travel,
Mauritius,travel,
Mayotte,travel,
Mexico,travel,
Micronesia,travel,
Moldova,travel,
Monaco,travel,
Mongolia,travel,
Montenegro,travel,
Montserrat,travel,
Morocco,travel,
Mozambique,travel,
Myanmar (Burma),travel,
Namibia,travel,
Nauru,travel,
Nepal,travel,
Netherlands,travel,
New Caledonia,travel,
New Zealand,travel,
Nicaragua,travel,
Niger,travel,
Nigeria,travel,
Niue,travel,
Norfolk Island,travel,
North Korea,travel,
North Macedonia,travel,
Northern Mariana Islands,travel,
Norway,travel,
Oman,travel,
Pakistan,travel,
Palau,travel,
Palestine,travel,
Panama,travel,
Papua New Guinea,travel,
Paraguay,travel,
Peru,travel,
Philippines,travel,
Pitcairn Islands,travel,
Poland,travel,
Portugal,travel,
Puerto Rico,travel,
Qatar,travel,
Romania,travel,
Russia,travel,
Rwanda,travel,
Réunion,travel,
Samoa,travel,
San Marino,travel,
Saudi Arabia,travel,
Senegal,travel,
Serbia,travel,
Seychelles,travel,
Sierra Leone,travel,
Singapore,travel,
Sint Maarten,travel,
Slovakia,travel,
Slovenia,travel,
Solomon Islands,travel,
Somalia,travel,
South Africa,travel,
South Georgia & South Sandwich Islands,travel,
South Korea,travel,
South Sudan,travel,
Spain,travel,
Sri Lanka,travel,
St. Barthélemy,travel,
St. Helena,travel,
St. Kitts & Nevis,travel,
St. Lucia,travel,
St. Martin,travel,
St. Pierre & Miquelon,travel,
St. Vincent & Grenadines,travel,
Sudan,travel,
Suriname,travel,
Svalbard & Jan Mayen,travel,
Sweden,travel,
Switzerland,travel,
Syria,travel,
São Tomé & Príncipe,travel,
Taiwan,travel,
Tajikistan,travel,
Tanzania,travel,
Thailand,travel,
Timor-Leste,travel,
Togo,travel,
Tokelau,travel,
Tonga,travel,
Trinidad & Tobago,travel,
Tunisia,travel,
Turkmenistan,travel,
Turks & Caicos Islands,travel,
Tuvalu,travel,
Türkiye,travel,
U.S. Outlying Islands,travel,
U.S. Virgin Islands,travel,
Uganda,travel,
Ukraine,travel,
United Arab Emirates,travel,
United Kingdom,travel,
United States,travel,
Uruguay,travel,
Uzbekistan,travel,
Vanuatu,travel,
Vatican City,travel,
Venezuela,travel,
Vietnam,travel,
Wallis & Futuna,travel,
Western Sahara,travel,
Yemen,travel,
Zambia,travel,
Zimbabwe,travel,
Åland Islands,travel,
Afghanistan,travel,
Albania,travel,
Algeria,travel,
American Samoa,travel,
Andorra,travel,
Angola,travel,
Anguilla,travel,
Antarctica,travel,
